1.360000000000000000e+03,9.952911844622283066e-01,9.967303940075927793e-01
1.361000000000000000e+03,9.929358333473309317e-01,9.950887324999045935e-01
1.362000000000000000e+03,9.905798391707738570e-01,9.934424882843815308e-01
1.363000000000000000e+03,9.882231913898633646e-01,9.917916536257632698e-01
1.364000000000000000e+03,9.858658793527612652e-01,9.901362206479085160e-01
1.365000000000000000e+03,9.835078924887924456e-01,9.884761815233821247e-01
1.366000000000000000e+03,9.811492202118351491e-01,9.868115283772954660e-01
1.367000000000000000e+03,9.787898519450789481e-01,9.851422533120657299e-01
1.368000000000000000e+03,9.764297771144089255e-01,9.834683484008549526e-01
1.369000000000000000e+03,9.740689851171935310e-01,9.817898056567122556e-01
1.370000000000000000e+03,9.717074654759590979e-01,9.801066171850091324e-01
1.371000000000000000e+03,9.693452075651022293e-01,9.784187749125417000e-01
1.372000000000000000e+03,9.669822008365082100e-01,9.767262708112675051e-01
1.373000000000000000e+03,9.646184347420810878e-01,9.750290968215767906e-01
1.374000000000000000e+03,9.622538987359624540e-01,9.733272448545474687e-01
1.375000000000000000e+03,9.598885822754251729e-01,9.716207067928892549e-01
1.376000000000000000e+03,9.575224748211661474e-01,9.699094744912931665e-01
1.377000000000000000e+03,9.551555658387952397e-01,9.681935397779707353e-01
1.378000000000000000e+03,9.527878447918626259e-01,9.664728944477658512e-01
1.379000000000000000e+03,9.504193011543589087e-01,9.647475302746658654e-01
1.380000000000000000e+03,9.480499243994076064e-01,9.630174390005911134e-01
1.381000000000000000e+03,9.456797040040492153e-01,9.612826123402126166e-01
1.382000000000000000e+03,9.433086293930822430e-01,9.595430419258146326e-01
1.383000000000000000e+03,9.409366901131529515e-01,9.577987194783671443e-01
1.384000000000000000e+03,9.385638757497348772e-01,9.560496367261536177e-01
1.385000000000000000e+03,9.361901756199839664e-01,9.542957851027774607e-01
1.386000000000000000e+03,9.338155792689618595e-01,9.525371562349994603e-01
1.387000000000000000e+03,9.314400761881517221e-01,9.507737416661142804e-01
1.388000000000000000e+03,9.290636558676554912e-01,9.490055329071637180e-01
1.389000000000000000e+03,9.266863078170934909e-01,9.472325214582418829e-01
1.390000000000000000e+03,9.243080215100115682e-01,9.454546987524422574e-01
1.391000000000000000e+03,9.219287864547096589e-01,9.436720562270082269e-01
1.392000000000000000e+03,9.195485921494509496e-01,9.418845852785925343e-01
1.393000000000000000e+03,9.171674280935375734e-01,9.400922772743451894e-01
1.394000000000000000e+03,9.147852837867251896e-01,9.382951235513840027e-01
1.395000000000000000e+03,9.124021487303327627e-01,9.364931154179221284e-01
1.396000000000000000e+03,9.100180124256700420e-01,9.346862441517688191e-01
1.397000000000000000e+03,9.076328643742341828e-01,9.328745010005701221e-01
1.398000000000000000e+03,9.052466940781844773e-01,9.310578771823035948e-01
1.399000000000000000e+03,9.028594910251536154e-01,9.292363638709788543e-01
1.400000000000000000e+03,9.004712447580734969e-01,9.274099522624708047e-01
1.401000000000000000e+03,8.980819447399699396e-01,9.255786334472031474e-01
1.402000000000000000e+03,8.956915804796792280e-01,9.237423985285342365e-01
1.403000000000000000e+03,8.933001414829033759e-01,9.219012385767806350e-01
1.404000000000000000e+03,8.909076172485058676e-01,9.200551446256881594e-01
1.405000000000000000e+03,8.885139972750376591e-01,9.182041076786285894e-01
1.406000000000000000e+03,8.861192710604065548e-01,9.163481187083226676e-01
1.407000000000000000e+03,8.837234281013377490e-01,9.144871686563580404e-01
1.408000000000000000e+03,8.813264578931725435e-01,9.126212484330276098e-01
1.409000000000000000e+03,8.789283499271742794e-01,9.107503489147269482e-01
1.410000000000000000e+03,8.765290937023000328e-01,9.088744609554918474e-01
1.411000000000000000e+03,8.741286787036051109e-01,9.069935753659358335e-01
1.412000000000000000e+03,8.717270944201098715e-01,9.051076829307181937e-01
1.413000000000000000e+03,8.693243303382874876e-01,9.032167744022276956e-01
1.414000000000000000e+03,8.669203759421564293e-01,9.013208405007002710e-01
1.415000000000000000e+03,8.645152207132285049e-01,8.994198719141951459e-01
1.416000000000000000e+03,8.621088541303913999e-01,8.975138592985085761e-01
1.417000000000000000e+03,8.597012656697737842e-01,8.956027932770694866e-01
1.418000000000000000e+03,8.572924448015124543e-01,8.936866644376767477e-01
1.419000000000000000e+03,8.548823810035784954e-01,8.917654633466300940e-01
1.420000000000000000e+03,8.524710637371297750e-01,8.898391805236354202e-01
1.421000000000000000e+03,8.500584824663102168e-01,8.879078064620120614e-01
1.422000000000000000e+03,8.476446266513654182e-01,8.859713316217147083e-01
1.423000000000000000e+03,8.452294857487105961e-01,8.840297464294301077e-01
1.424000000000000000e+03,8.428130492441396893e-01,8.820830413123328384e-01
1.425000000000000000e+03,8.403953064872402567e-01,8.801312065299478071e-01
1.426000000000000000e+03,8.379762470194946911e-01,8.781742325073972344e-01
1.427000000000000000e+03,8.355558602517180189e-01,8.762121095077270994e-01
1.428000000000000000e+03,8.331341356143829868e-01,8.742448277851214700e-01
1.429000000000000000e+03,8.307110625426022965e-01,8.722723775686513914e-01
1.430000000000000000e+03,8.282866304383482703e-01,8.702947490257195717e-01
1.431000000000000000e+03,8.258608287917648116e-01,8.683119323809048717e-01
1.432000000000000000e+03,8.234336469501020161e-01,8.663239176891982529e-01
1.433000000000000000e+03,8.210050743473084056e-01,8.643306950614063622e-01
1.434000000000000000e+03,8.185751003873434906e-01,8.623322545496822089e-01
1.435000000000000000e+03,8.161437144757337503e-01,8.603285861781816424e-01
1.436000000000000000e+03,8.137109060005044414e-01,8.583196799251026077e-01
